UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW
100654,R,731,R,272,R,459,R,2,R,0,R,2,R,4,R,1,R,3,R,621,R,236,R,385,R,6,R,0,R,6,R,2,R,1,R,1,R,70,R,26,R,44,R,0,R,0,R,0,R,12,R,1,R,11,R,14,R,7,R,7
100663,R,4394,R,1674,R,2720,R,13,R,8,R,5,R,212,R,77,R,135,R,772,R,221,R,551,R,125,R,40,R,85,R,5,R,3,R,2,R,2928,R,1158,R,1770,R,127,R,50,R,77,R,44,R,20,R,24,R,168,R,97,R,71
100690,R,116,R,61,R,55,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,49,R,18,R,31,R,3,R,1,R,2,R,0,Z,0,Z,0,R,50,R,33,R,17,R,0,Z,0,Z,0,R,14,R,9,R,5,R,0,Z,0,Z,0
100706,R,1632,R,851,R,781,R,18,R,10,R,8,R,53,R,25,R,28,R,170,R,62,R,108,R,41,R,20,R,21,R,1,R,1,Z,0,R,1120,R,587,R,533,R,36,R,20,R,16,R,56,R,30,R,26,R,137,R,96,R,41
100724,R,822,R,275,R,547,R,2,R,1,R,1,R,6,R,3,R,3,R,695,R,221,R,474,R,14,R,5,R,9,R,0,R,0,R,0,R,59,R,27,R,32,R,7,R,2,R,5,R,11,R,3,R,8,R,28,R,13,R,15
100751,R,8340,R,3576,R,4764,R,29,R,16,R,13,R,104,R,52,R,52,R,858,R,256,R,602,R,268,R,101,R,167,R,12,R,5,R,7,R,6524,R,2869,R,3655,R,157,R,62,R,95,R,36,R,18,R,18,R,352,R,197,R,155
100760,R,333,R,153,R,180,R,1,R,0,R,1,R,1,R,0,R,1,R,74,R,22,R,52,R,5,R,3,R,2,R,0,R,0,R,0,R,247,R,126,R,121,R,2,R,1,R,1,R,2,R,0,R,2,R,1,R,1,R,0
100812,R,780,R,264,R,516,R,13,R,7,R,6,R,5,R,1,R,4,R,86,R,24,R,62,R,18,R,6,R,12,R,0,Z,0,Z,0,R,618,R,215,R,403,R,15,R,3,R,12,R,21,R,8,R,13,R,4,Z,0,R,4
100830,R,862,R,313,R,549,R,3,R,2,R,1,R,15,R,4,R,11,R,172,R,49,R,123,R,8,R,1,R,7,R,1,R,0,R,1,R,479,R,168,R,311,R,10,R,6,R,4,R,110,R,47,R,63,R,64,R,36,R,28
100858,R,6134,R,2961,R,3173,R,33,R,15,R,18,R,127,R,56,R,71,R,422,R,168,R,254,R,192,R,102,R,90,R,3,R,1,R,2,R,4888,R,2337,R,2551,R,61,R,27,R,34,R,36,R,18,R,18,R,372,R,237,R,135
100937,R,261,R,133,R,128,R,2,R,1,R,1,R,10,R,5,R,5,R,22,R,9,R,13,R,4,R,3,R,1,R,0,Z,0,Z,0,R,222,R,114,R,108,R,0,Z,0,Z,0,R,1,R,1,Z,0,R,0,Z,0,Z,0
101028,R,281,R,108,R,173,R,0,R,0,R,0,R,6,R,3,R,3,R,106,R,35,R,71,R,12,R,1,R,11,R,2,R,1,R,1,R,147,R,65,R,82,R,4,R,1,R,3,R,4,R,2,R,2,R,0,R,0,R,0
101073,R,70,R,27,R,43,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,58,R,23,R,35,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,2,Z,0,R,2,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,10,R,4,R,6
101116,R,153,R,35,R,118,R,3,R,0,R,3,R,4,R,1,R,3,R,74,R,16,R,58,R,2,R,0,R,2,R,1,R,0,R,1,R,65,R,17,R,48,R,0,R,0,R,0,R,4,R,1,R,3,R,0,R,0,R,0
101143,R,264,R,121,R,143,R,3,R,2,R,1,R,6,R,2,R,4,R,61,R,26,R,35,R,11,R,4,R,7,R,1,R,1,R,0,R,165,R,76,R,89,R,17,R,10,R,7,R,0,R,0,R,0,R,0,R,0,R,0
101161,R,541,R,180,R,361,R,8,R,1,R,7,R,5,R,2,R,3,R,97,R,30,R,67,R,17,R,6,R,11,R,1,R,1,R,0,R,402,R,136,R,266,R,11,R,4,R,7,R,0,R,0,R,0,R,0,R,0,R,0
101189,R,722,R,234,R,488,R,15,R,4,R,11,R,6,R,4,R,2,R,335,R,63,R,272,R,11,R,3,R,8,R,1,R,1,R,0,R,315,R,145,R,170,R,15,R,4,R,11,R,24,R,10,R,14,R,0,R,0,R,0
101240,R,808,R,334,R,474,R,4,R,2,R,2,R,6,R,2,R,4,R,140,R,57,R,83,R,27,R,11,R,16,R,1,R,0,R,1,R,575,R,233,R,342,R,17,R,7,R,10,R,18,R,9,R,9,R,20,R,13,R,7
101277,R,70,R,0,R,70,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1,R,8,R,0,R,8,R,0,R,0,R,0,R,61,R,0,R,61,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
101286,R,895,R,356,R,539,R,4,R,3,R,1,R,9,R,1,R,8,R,234,R,76,R,158,R,21,R,4,R,17,R,0,Z,0,Z,0,R,617,R,270,R,347,R,9,R,2,R,7,R,1,Z,0,R,1,R,0,Z,0,Z,0
101295,R,1173,R,468,R,705,R,12,R,3,R,9,R,10,Z,0,R,10,R,45,R,23,R,22,R,43,R,19,R,24,R,0,Z,0,Z,0,R,1036,R,411,R,625,R,0,Z,0,Z,0,R,19,R,5,R,14,R,8,R,7,R,1
101301,R,340,R,138,R,202,R,0,Z,0,Z,0,R,1,R,1,Z,0,R,255,R,103,R,152,R,2,Z,0,R,2,R,0,Z,0,Z,0,R,69,R,27,R,42,R,0,Z,0,Z,0,R,12,R,6,R,6,R,1,R,1,Z,0
101365,R,174,R,95,R,79,R,1,Z,0,R,1,R,0,Z,0,Z,0,R,67,R,15,R,52,R,2,R,1,R,1,R,2,R,2,Z,0,R,89,R,69,R,20,R,7,R,4,R,3,R,6,R,4,R,2,R,0,Z,0,Z,0
101435,R,249,R,118,R,131,R,4,R,4,R,0,R,3,R,1,R,2,R,59,R,16,R,43,R,2,R,1,R,1,R,0,R,0,R,0,R,145,R,73,R,72,R,7,R,5,R,2,R,27,R,16,R,11,R,2,R,2,R,0
101453,R,21,R,21,R,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,1,R,1,Z,0,R,1,R,1,Z,0,R,0,Z,0,Z,0,R,17,R,17,Z,0,R,0,Z,0,Z,0,R,1,R,1,Z,0,R,1,R,1,Z,0
101462,R,147,R,50,R,97,R,1,R,0,R,1,R,2,R,0,R,2,R,86,R,17,R,69,R,5,R,1,R,4,R,0,R,0,R,0,R,50,R,32,R,18,R,0,R,0,R,0,R,2,R,0,R,2,R,1,R,0,R,1
101471,R,511,R,415,R,96,R,1,R,1,R,0,R,2,R,1,R,1,R,288,R,261,R,27,R,10,R,9,R,1,R,0,R,0,R,0,R,210,R,143,R,67,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
