UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN
100654,5,R,424,R,191,R,233,R,2,Z,0,R,384,R,3,R,1,R,25,R,0,R,6,R,3,R,0,R,176,R,232,R,14,R,2
100654,7,R,295,R,75,R,220,R,0,R,3,R,231,R,3,R,1,R,43,R,0,R,6,R,8,R,0,R,6,R,240,R,45,R,4
100654,9,R,7,R,4,R,3,Z,0,R,1,R,2,Z,0,Z,0,R,1,Z,0,Z,0,R,3,Z,0,Z,0,R,4,R,3,Z,0
100654,10,R,6,R,2,R,4,Z,0,Z,0,R,5,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,5,Z,0
100663,2,R,15,R,2,R,13,R,0,R,0,R,2,R,2,R,0,R,11,R,0,R,0,R,0,R,0,R,12,R,3,R,0,R,0
100663,5,R,2174,R,856,R,1318,R,3,R,115,R,485,R,71,R,3,R,1358,R,79,R,19,R,41,R,0,R,1416,R,624,R,134,R,0
100663,7,R,1613,R,530,R,1083,R,6,R,52,R,236,R,45,R,1,R,1145,R,32,R,13,R,83,R,0,R,178,R,1170,R,265,R,0
100663,9,R,519,R,267,R,252,R,4,R,44,R,33,R,6,R,1,R,360,R,15,R,12,R,44,R,0,R,9,R,455,R,55,R,0
100663,10,R,73,R,19,R,54,R,0,R,1,R,16,R,1,R,0,R,54,R,1,R,0,R,0,R,0,R,14,R,31,R,28,R,0
100690,3,R,4,R,1,R,3,Z,0,Z,0,R,2,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,R,1,Z,0,R,3,Z,0
100690,5,R,41,R,27,R,14,Z,0,Z,0,R,14,R,2,Z,0,R,20,Z,0,R,5,Z,0,Z,0,Z,0,R,26,R,15,Z,0
100690,7,R,59,R,29,R,30,Z,0,Z,0,R,28,R,1,Z,0,R,23,Z,0,R,7,Z,0,Z,0,Z,0,R,20,R,39,Z,0
100690,9,R,12,R,4,R,8,Z,0,Z,0,R,5,Z,0,Z,0,R,6,Z,0,R,1,Z,0,Z,0,Z,0,R,3,R,9,Z,0
100706,5,R,1051,R,559,R,492,R,16,R,34,R,116,R,34,R,1,R,734,R,26,R,37,R,53,Z,0,R,635,R,376,R,39,R,1
