Name,State,AL,AK,AZ,AR,CA,CNMI,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VT,VA,VI,WA,WV,WI,WY,Calculated SARA Total,Calculated non-SARA Total,Grand Total
A. T. Still University of Health Sciences,MO,18,1,186,10,169,0,27,9,3,4,64,42,8,4,46,13,22,13,8,5,7,34,14,33,18,8,0,1,4,8,4,26,14,64,42,0,51,14,15,42,24,3,17,5,17,86,18,4,29,0,28,1,14,1,1027,273,1300
Abilene Christian University,TX,15,0,10,22,43,0,13,4,7,0,47,38,4,1,18,5,5,8,6,20,1,12,5,9,6,7,11,1,4,2,1,5,3,9,34,1,14,21,7,16,3,0,13,3,23,0,5,0,18,0,13,1,3,2,421,98,519
Acacia University,AZ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,18
Adams State University,CO,5,10,40,11,158,3,0,15,5,3,65,36,13,13,62,14,12,13,5,14,4,26,53,24,21,6,22,11,5,20,6,44,31,47,26,3,19,10,19,38,0,4,14,6,15,68,41,8,41,0,30,9,28,23,940,279,1219
Allen College,IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
Adler University,IL,4,0,9,3,25,0,2,1,0,0,12,15,3,0,0,10,1,4,3,2,2,3,3,9,12,1,3,0,0,2,0,8,2,15,15,0,10,1,5,6,1,0,3,2,2,18,0,1,11,0,9,1,6,1,205,41,246
Aims Community College,CO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
Alabama A & M University,AL,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,1,8
Alaska Pacific University,AK,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Albany State University,GA,1,0,0,0,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,7,15
